model,accuracy,precision,recall,f1_score
LogisticRegression,0.9852522639068564,0.9806571894663249,0.992686954470394,0.9866354044548652
NaiveBayes,0.9410090556274257,0.9416296988092459,0.9514036329322954,0.9464914339356958
RandomForest,0.9963777490297542,0.9950623089583823,0.998348667138476,0.9967027790861988
